m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,6.802938652919887e-09,6.493375106556213e-09,7.11971040604915e-09
0.3,1.1169551254461384e-08,1.0672890417533655e-08,1.1677506793841262e-08
0.31622776601683794,1.5040030956893263e-08,1.4360840317769263e-08,1.5734913698488773e-08
0.33166247903553997,1.8918341602986768e-08,1.8047661429690793e-08,1.9809532220246033e-08
0.34641016151377546,2.286853070751969e-08,2.1793873146251947e-08,2.3969050201514178e-08
0.36055512754639896,2.6947772452195445e-08,2.565295243072937e-08,2.8274470607386366e-08
0.37416573867739417,3.115781416095938e-08,2.9625592796686195e-08,3.2728665728767035e-08
0.3872983346207417,3.5497305976183096e-08,3.370945607033195e-08,3.7331349933943663e-08
0.4,3.995421874532656e-08,3.7892019136690473e-08,4.207105700686587e-08
0.41231056256176607,4.451317041113662e-08,4.215771993681641e-08,4.6932646670123096e-08
0.4242640687119285,4.914610537075655e-08,4.6479053772320495e-08,5.18875573481993e-08
0.43588989435406733,5.383838321131715e-08,5.0841230868602706e-08,5.692136663000386e-08
0.4472135954999579,5.856744221697528e-08,5.522205643861579e-08,6.201120285014402e-08
0.458257569495584,6.331263777964946e-08,5.9601227060321764e-08,6.713614090386808e-08
0.469041575982343,6.80600304873932e-08,6.396485314494012e-08,7.22822635241366e-08
0.47958315233127197,7.278297388823843e-08,6.828729715653481e-08,7.742195681261095e-08
0.4898979485566356,7.747433762552103e-08,7.256114053612786e-08,8.25484698548217e-08
0.5,8.212333019856158e-08,7.677568495393166e-08,8.765099802966172e-08
0.5099019513592785,8.671555271556963e-08,8.091706897126583e-08,9.27146685128694e-08
0.5196152422706632,9.124773709045075e-08,8.498155342148662e-08,9.773679787712612e-08
0.5291502622129182,9.571428551927623e-08,8.896349407184349e-08,1.0271193080842431e-07
0.5385164807134504,1.0010988763242429e-07,9.285767018791911e-08,1.0763475838411309e-07
0.5477225575051661,1.0443443366871812e-07,9.666331361985626e-08,1.1250596916224916e-07
0.5567764362830022,1.0868952564758231e-07,1.0038155584686156e-07,1.1732776413523725e-07
0.565685424949238,1.1287955682257363e-07,1.0401630942935843e-07,1.2210514388699023e-07
0.5744562646538028,1.1700351951073687e-07,1.0756578826911838e-07,1.2683805535287147e-07
0.5830951894845301,1.210660918830756e-07,1.1103380290231579e-07,1.3153221938949764e-07
0.5916079783099616,1.2507800849168736e-07,1.1442997878609471e-07,1.3619966171902795e-07
0.6,1.290385554277482e-07,1.1775275282505351e-07,1.4084072953952495e-07
0.6082762530298219,1.3295433181717392e-07,1.2100754128604072e-07,1.4546343057940697e-07
0.6164414002968976,1.3684117980769816e-07,1.2420865752709346e-07,1.5008536365173158e-07
0.6244997998398398,1.4069886070181225e-07,1.2735459650930104e-07,1.547078424885802e-07
0.6324555320336759,1.4453388875406444e-07,1.3045027939993353e-07,1.5933927891345004e-07
0.6403124237432849,1.4836049983007087e-07,1.3350778473933116e-07,1.6399640517098694e-07
0.648074069840786,1.5218326204681544e-07,1.3653005481043086e-07,1.6868576582971996e-07
0.6557438524302001,1.5600821060443413e-07,1.395212946680389e-07,1.7341561067185318e-07
0.6633249580710799,1.598489227571106e-07,1.424928440706215e-07,1.7820215790924152e-07
0.6708203932499369,1.637134846278093e-07,1.4545040034686168e-07,1.830563578158646e-07
0.6782329983125268,1.6760717677398803e-07,1.4839665259998158e-07,1.879866293060731e-07
0.6855654600401044,1.7154164784325733e-07,1.5134014839258946e-07,1.9300831847839314e-07
0.6928203230275509,1.7552696119735656e-07,1.54287861795195e-07,1.9813521674129725e-07
0.7,1.7957005029801368e-07,1.5724379301072663e-07,2.0337786937590553e-07
0.7071067811865476,1.8368318287429546e-07,1.602168730716564e-07,2.0875260433093165e-07
0.714142842854285,1.8787778704003573e-07,1.6321468607844766e-07,2.1427553298542807e-07
0.7211102550927979,1.9216213034569296e-07,1.662409341755217e-07,2.1996051294286006e-07
0.7280109889280518,1.9654794438702217e-07,1.6930249465803876e-07,2.2582522608033956e-07
0.7348469228349535,2.0104763730872532e-07,1.7240668997386216e-07,2.3188835460525187e-07
0.7416198487095663,2.056745078823465e-07,1.755614270081422e-07,2.3816988378442437e-07
0.7483314773547883,2.1044483004894368e-07,1.7877774680901268e-07,2.446926196300594e-07
0.754983443527075,2.1537259475093017e-07,1.8206202171865703e-07,2.514799795572687e-07
0.7615773105863908,2.2047252275382722e-07,1.8542057927147518e-07,2.5855713173543395e-07
0.7681145747868608,2.2576042708301867e-07,1.8886024792026578e-07,2.659511564635492e-07
0.7745966692414834,2.3125784022421295e-07,1.9239455985333065e-07,2.7369373212567046e-07
0.7810249675906654,2.3698621375366247e-07,1.9603745657523795e-07,2.818159741568965e-07
0.7874007874011811,2.429701817232607e-07,1.997994368441015e-07,2.9036019479767695e-07
0.7937253933193772,2.492329587257788e-07,2.0368746705954212e-07,2.993701238050577e-07
0.8,2.5580827577882917e-07,2.0772115276401748e-07,3.0889751201718693e-07
0.806225774829855,2.6273820291414424e-07,2.1193081730717975e-07,3.18999550645541e-07
0.812403840463596,2.7006037807732386e-07,2.163289711284596e-07,3.2974571145863134e-07
0.8185352771872451,2.778110062430582e-07,2.2092138619292022e-07,3.412111833716272e-07
0.8246211251235321,2.861307683148792e-07,2.258600483106593e-07,3.535212103569402e-07
0.8306623862918076,2.9480772720675544e-07,2.307692453119649e-07,3.6667810054565e-07
